Limit sugary drinks,"Sugary drinks like sodas- fruit juices- and sweetened teas are the primary source of added sugar in the American diet."
Eat nuts and seeds,"Some people avoid nuts because they are high in fat. However- nuts and seeds are incredibly nutritious. They are packed with protein- fiber- and a variety of vitamins and minerals. Nuts may help you lose weight and reduce the risk of developing type 2 diabetes and heart disease Additionally- one large observational study noted that a low intake of nuts and seeds was potentially linked to an increased risk of death from heart disease- stroke- or type 2 diabetes."
Avoid ultra-processed foods,"Ultra-processed foods are foods containing ingredients that are significantly modified from their original form. They often contain additives like added sugar- highly refined oil- salt- preservatives- artificial sweeteners- colors- and flavors as well. Examples include: snack cakes - fast food - frozen meals - canned foods - chips."
Don’t fear coffee,"Despite some controversy over it- coffee is loaded with health benefits. It’s rich in antioxidants- and some studies have linked coffee intake to longevity and a reduced risk of type 2 diabetes- Parkinson’s and Alzheimer’s diseases- and numerous other illnesses. The most beneficial intake amount appears to be 3–4 cups per day- although pregnant people should limit or avoid it completely because it has been linked to low birth weight."
Eat fatty fish,"Fish is a great source of high-quality protein and healthy fat. This is particularly true of fatty fish- such as salmon- which is loaded with anti-inflammatory omega-3 fatty acids and various other nutrients. Studies show that people who eat fish regularly have a lower risk for several conditions- including heart disease- dementia- and inflammatory bowel disease."
Get enough sleep,"The importance of getting enough quality sleep cannot be overstated. Poor sleep can drive insulin resistance- can disrupt your appetite hormones- and reduce your physical and mental performance What’s more- poor sleep is one of the strongest individual risk factors for weight gain and obesity. People who do not get enough sleep tend to make food choices that are higher in fat- sugar- and calories- potentially leading to unwanted weight gain."
Feed your gut bacteria,"The bacteria in your gut- collectively called the gut microbiota- are incredibly important for overall health. A disruption in gut bacteria is linked to some chronic diseases- including obesity and a myriad of digestive problems. Good ways to improve gut health include eating probiotic foods like yogurt and sauerkraut- taking probiotic supplements — when indicated — and eating plenty of fiber. Notably- fiber serves as a probiotic- or a food source for your gut bacteria."
Stay hydrated,"Hydration is an important and often overlooked marker of health. Staying hydrated helps ensure that your body is functioning optimally and that your blood volume is sufficient. Drinking water is the best way to stay hydrated- as it’s free of calories- sugar- and additives. Although there’s no set amount that everyone needs per day- aim to drink enough so that your thirst is adequately quenched."
Don’t eat heavily charred meats,"Meat can be a nutritious and healthy part of your diet. It’s very high in protein and a rich source of nutrients. However- problems occur when meat is charred or burnt. This charring can lead to the formation of harmful compounds that may increase your risk for certain cancers. When you cook meat- try not to char or burn it."
Avoid bright lights before sleep,"Exposure to bright lights — which contain blue light wavelengths — in the evening may disrupt your production of the sleep hormone melatonin. Some ways to help reduce your blue light exposure are to wear blue light blocking glasses — especially if you use a computer or other digital screen for long periods — and to avoid digital screens for 30 minutes to an hour before going to bed."
Take vitamin D if you’re deficient,"Most people do not get enough vitamin D. While these widespread vitamin D inadequacies are not imminently harmful- maintaining adequate vitamin D levels can help to optimize your health by improving bone strength- reducing symptoms of depression- strengthening your immune system- and lowering your risk for cancer. If you do not spend a lot of time in the sunlight- your vitamin D levels may be low."
Eat plenty of fruits and vegetables,"Vegetables and fruits are loaded with prebiotic fiber- vitamins- minerals- and antioxidants- many of which have potential health effects. Studies show that people who eat more vegetables and fruits tend to live longer and have a lower risk for heart disease- obesity- and other illnesses."
Eat adequate protein,"Eating enough protein is vital for optimal health- as it provides the raw materials your body needs to create new cells and tissues What’s more- this nutrient is particularly important for the maintenance of moderate body weight. High protein intake may boost your metabolic rate — or calorie burn — while making you feel full. It may also reduce cravings and your desire to snack late at night."
Get moving,"Doing aerobic exercise- or cardio is one of the best things you can do for your mental and physical health. It’s particularly effective at reducing belly fat- the harmful type of fat that builds up around your organs. Reduced belly fat may lead to major improvements in your metabolic health."
Use extra virgin olive oil,"Extra virgin olive oil is one of the healthiest vegetable oils you can use. It’s loaded with heart-healthy monounsaturated fats and powerful antioxidants that have anti-inflammatory properties. Extra virgin olive oil may benefit heart health- as people who consume it have a lower risk of dying from heart attacks and strokes according to some evidence. "
Minimize your sugar intake,"Added sugar is extremely prevalent in modern food and drinks. A high intake is linked to obesity- type 2 diabetes- and heart disease. The Dietary Guidelines for Americans recommend keeping added sugar intake below 10% of your daily calorie intake- while the World Health Organization recommends slashing added sugars to 5% or less of your daily calories for optimal health. "
Limit refined carbs,"Not all carbs are created equal. Refined carbs have been highly processed to remove their fiber. They’re relatively low in nutrients and may harm your health when eaten in excess. Most ultra-processed foods are made from refined carbs- like processed corn- white flour- and added sugars. Studies show that a diet high in refined carbs may be linked to overeating- weight gain- and chronic diseases like type 2 diabetes and heart disease. "
Lift heavy weights,"Strength and resistance training are some of the best forms of exercise you can do to strengthen your muscles and improve your body composition. It may also lead to important improvements in metabolic health- including improved insulin sensitivity — meaning your blood sugar levels are easier to manage — and increases in your metabolic rate- or how many calories you burn at rest. "
Avoid artificial trans fats,"Artificial trans fats are harmful- man-made fats that are strongly linked to inflammation and heart disease. Avoiding them should be much easier now that they have been completely banned in the United States and many other countries. Note that you may still encounter some foods that contain small amounts of naturally occurring trans fats- but these are not associated with the same negative effects as artificial trans fats. "
Use plenty of herbs and spices,"There is a variety of herbs and spices at our disposal these days- more so than ever. They not only provide flavor but also may offer several health benefits as well. For example- ginger and turmeric both have potent anti-inflammatory and antioxidant effects- which may help improve your overall health. Due to their powerful potential health benefits- you should aim to include a wide variety of herbs and spices in your diet."
Nurture your social relationships,"Social relationships — with friends- family- and loved ones you care about — are important not only for your mental well-being but also for your physical health. Studies show that people who have close friends and family are healthier and live much longer than those who do not. "
Occasionally track your food intake,"The only way to know exactly how many calories you eat is to weigh your food and use a nutrition tracker- as estimating your portion sizes and calorie intake is not unreliable. Tracking can also provide insights into your protein- fiber- and micronutrient intake."
Get rid of excess belly fat,"Excessive abdominal fat- or visceral fat- is a uniquely harmful type of fat distribution that is linked to an increased risk of cardiomegaly diseases like type 2 diabetes and heart disease. For this reason- your waist size and waist-to-hip ratio may be much stronger markers of health than your weight. "
Avoid restrictive diets,"Diets are generally ineffective and rarely work well long term. Past dieting is one of the strongest predictors of future weight gain. This is because overly restrictive diets lower your metabolic rate or the number of calories you burn- making it more difficult to lose weight. At the same time- they also cause alterations to your hunger and satiety hormones- which make you hungrier and may cause strong food cravings for foods high in fat- calories- and sugar. "
Eat whole eggs,"Despite the constant back and forth about eggs and health- it’s a myth that eggs are bad for you because of their cholesterol content. Studies show that they have minimal effect on blood cholesterol in the majority of people- and they’re a great source of protein and nutrients. Additionally- a review involving 263-938 people found that egg intake had no association with heart disease risk. "
Meditate,"Stress hurts your health. It can affect your blood sugar levels- food choices- susceptibility to sickness- weight- fat distribution- and more. For this reason- it’s important to find healthy ways to manage your stress. Meditation is one such way- and it has some scientific evidence to support its use for stress management and improving health. "
"Don’t smoke or use drugs- and only drink in moderation","Smoking- harmful use of drugs- and alcohol abuse can all seriously negatively affect your health. If you do any of these actions- consider cutting back or quitting to help reduce your risk for chronic diseases. There are resources available online — and likely in your local community- as well — to help with this. Talk with your doctor to learn more about accessing resources. "
